EmpID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,AgeGroup,SalarySlab
RM315,39,No,Travel_Rarely,Research & Development,10,Medical,3,Male,Manager,1,Married,17068,5355,1,Yes,14,3,4,21,3,3,21,9,11,36-45,15k+
RM623,32,No,Travel_Rarely,Sales,13,Life Sciences,2,Male,Sales Executive,4,Divorced,4403,9250,2,No,11,3,3,8,3,2,5,2,0,26-35,Upto 5k
RM884,33,No,Travel_Rarely,Research & Development,9,Medical,1,Male,Research Scientist,4,Married,2781,6311,0,No,13,3,2,15,5,3,14,10,4,26-35,Upto 5k
RM1133,40,No,Travel_Rarely,Sales,14,Life Sciences,4,Female,Sales Executive,1,Married,4639,11262,1,No,15,3,3,5,2,3,5,4,1,36-45,Upto 5k
RM592,33,Yes,Travel_Rarely,Sales,16,Marketing,1,Female,Sales Executive,1,Single,5324,26507,5,No,15,3,3,6,3,3,3,2,0,26-35,5k-10k
RM1404,39,No,Travel_Rarely,Sales,15,Marketing,2,Male,Sales Executive,1,Single,13341,25098,0,No,12,3,1,21,3,3,20,8,11,36-45,10k-15k
RM224,38,No,Travel_Rarely,Sales,3,Life Sciences,1,Male,Sales Executive,3,Divorced,10609,9647,0,No,12,3,3,17,6,2,16,10,5,36-45,10k-15k
RM170,32,No,Travel_Rarely,Research & Development,6,Life Sciences,3,Male,Research Scientist,3,Single,3038,12430,3,No,20,4,1,8,2,3,5,4,1,26-35,Upto 5k
RM098,28,No,Non_Travel,Sales,4,Medical,2,Male,Sales Executive,3,Married,4221,8863,1,No,15,3,2,5,3,4,5,4,0,26-35,Upto 5k
RM580,34,No,Travel_Rarely,Research & Development,2,Medical,3,Female,Research Scientist,1,Single,4381,7530,1,No,11,3,3,6,3,3,6,5,1,26-35,Upto 5k
RM206,29,Yes,Travel_Rarely,Sales,27,Marketing,2,Female,Sales Executive,4,Married,7639,24525,1,No,22,4,4,10,3,2,10,4,1,26-35,5k-10k
RM761,53,No,Travel_Frequently,Sales,2,Marketing,3,Female,Sales Executive,2,Married,7525,23537,2,No,12,3,1,30,2,3,15,7,6,46-55,5k-10k
RM768,37,No,Travel_Rarely,Research & Development,3,Other,4,Female,Healthcare Representative,2,Single,4107,13848,3,No,15,3,1,8,3,2,4,3,0,36-45,Upto 5k
RM033,30,No,Travel_Rarely,Research & Development,9,Medical,4,Male,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,10,5,3,10,0,1,26-35,Upto 5k
RM263,32,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,Laboratory Technician,1,Single,2176,19737,4,No,13,3,4,9,5,3,6,2,0,26-35,Upto 5k
RM690,20,Yes,Travel_Rarely,Research & Development,4,Technical Degree,1,Male,Laboratory Technician,1,Single,2973,13008,1,No,19,3,2,1,2,3,1,0,0,18-25,Upto 5k
RM812,38,No,Travel_Rarely,Sales,2,Marketing,4,Male,Sales Executive,2,Single,7351,20619,7,No,16,3,3,10,2,3,1,0,0,36-45,5k-10k
RM637,35,Yes,Travel_Frequently,Research & Development,25,Life Sciences,4,Female,Research Scientist,2,Divorced,2022,16612,1,Yes,19,3,1,10,3,2,10,2,7,26-35,Upto 5k
RM918,34,No,Travel_Rarely,Sales,2,Marketing,3,Female,Sales Executive,1,Single,4538,6039,0,Yes,12,3,4,4,3,3,3,2,0,26-35,Upto 5k
RM075,36,No,Travel_Rarely,Research & Development,6,Life Sciences,2,Female,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,5,3,3,1,0,0,36-45,Upto 5k
RM177,33,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,4,Single,2500,10515,0,No,14,3,1,4,2,4,3,1,0,26-35,Upto 5k
RM746,55,No,Travel_Frequently,Research & Development,18,Medical,3,Male,Healthcare Representative,2,Married,6385,12992,3,Yes,14,3,4,17,3,3,8,7,6,46-55,5k-10k
RM921,34,No,Travel_Frequently,Research & Development,19,Medical,3,Female,Laboratory Technician,2,Divorced,4444,22534,4,No,13,3,3,15,2,4,11,8,5,26-35,Upto 5k
RM998,27,Yes,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,Research Scientist,3,Single,2394,25681,1,Yes,13,3,4,8,2,3,8,2,7,26-35,Upto 5k
RM1079,44,No,Travel_Rarely,Research & Development,28,Life Sciences,4,Male,Research Director,1,Married,16328,22074,3,No,13,3,3,24,1,4,20,6,14,36-45,15k+
RM1388,29,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Male,Healthcare Representative,1,Married,5373,6225,0,No,12,3,1,6,5,2,5,3,0,26-35,5k-10k
RM197,35,No,Travel_Frequently,Research & Development,2,Medical,2,Female,Laboratory Technician,2,Single,4425,15986,5,No,11,3,4,10,5,3,6,2,1,26-35,Upto 5k
RM721,30,Yes,Travel_Rarely,Research & Development,22,Life Sciences,1,Female,Research Scientist,3,Married,2132,11539,4,Yes,11,3,2,7,2,3,5,2,0,26-35,Upto 5k
RM181,31,No,Travel_Rarely,Research & Development,12,Medical,3,Female,Research Scientist,4,Married,3929,6984,8,Yes,23,4,3,7,0,3,4,2,0,26-35,Upto 5k
RM552,39,No,Travel_Rarely,Human Resources,3,Human Resources,3,Female,Human Resources,2,Married,6389,18767,9,No,15,3,3,12,3,1,8,3,3,36-45,5k-10k
RM635,25,No,Travel_Rarely,Sales,3,Other,3,Male,Sales Executive,1,Married,4194,14363,1,Yes,18,3,4,5,3,3,5,3,0,18-25,Upto 5k
RM226,59,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,Research Scientist,4,Married,2177,8456,3,No,17,3,1,7,6,3,1,0,0,55+,Upto 5k
RM113,54,No,Non_Travel,Human Resources,26,Human Resources,4,Female,Manager,4,Single,17328,13871,2,Yes,12,3,3,23,3,3,5,3,4,46-55,15k+
RM468,37,No,Non_Travel,Sales,9,Medical,1,Male,Sales Executive,2,Divorced,8834,24666,1,No,13,3,4,9,6,3,9,5,7,36-45,5k-10k
RM367,41,Yes,Travel_Frequently,Sales,4,Marketing,1,Male,Sales Executive,2,Single,9355,9558,1,No,18,3,3,8,5,3,8,7,7,36-45,5k-10k
RM431,35,No,Travel_Rarely,Research & Development,22,Life Sciences,4,Male,Laboratory Technician,3,Single,4230,19225,0,No,15,3,3,6,2,3,5,4,4,26-35,Upto 5k
RM344,29,No,Travel_Rarely,Sales,10,Marketing,4,Female,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,7,2,3,7,7,1,26-35,5k-10k
RM752,50,No,Non_Travel,Sales,1,Life Sciences,4,Female,Sales Executive,3,Married,6347,24920,0,No,12,3,1,19,3,3,18,7,0,46-55,5k-10k
RM1216,35,No,Travel_Frequently,Research & Development,2,Medical,1,Male,Research Scientist,4,Single,4930,13970,0,Yes,14,3,3,6,2,4,5,4,1,26-35,Upto 5k
RM127,58,Yes,Travel_Rarely,Research & Development,23,Medical,4,Female,Healthcare Representative,4,Married,10312,3465,1,No,12,3,4,40,3,2,40,10,15,55+,10k-15k
RM284,55,No,Travel_Rarely,Research & Development,20,Technical Degree,2,Male,Laboratory Technician,4,Married,5415,15972,3,Yes,19,3,4,12,4,3,10,7,0,46-55,5k-10k
RM222,33,No,Travel_Rarely,Research & Development,4,Medical,3,Female,Research Scientist,2,Married,2622,13248,6,No,21,4,4,7,3,3,3,2,1,26-35,Upto 5k
RM864,33,No,Travel_Rarely,Human Resources,2,Human Resources,2,Male,Human Resources,3,Married,3600,8429,1,No,13,3,4,5,2,3,5,4,1,26-35,Upto 5k
RM1194,38,No,Travel_Frequently,Research & Development,2,Medical,4,Female,Laboratory Technician,2,Single,2440,23826,1,No,22,4,2,4,3,3,4,3,3,36-45,Upto 5k
RM878,46,No,Travel_Rarely,Research & Development,2,Technical Degree,4,Male,Manufacturing Director,4,Divorced,7379,17433,2,No,11,3,3,12,3,2,6,3,1,46-55,5k-10k
RM704,38,No,Non_Travel,Sales,10,Technical Degree,3,Female,Sales Executive,4,Single,5666,19899,1,Yes,13,3,2,6,1,3,5,3,1,36-45,5k-10k
RM731,30,No,Travel_Rarely,Research & Development,8,Life Sciences,2,Female,Research Director,1,Married,11416,17802,0,Yes,12,3,3,9,4,2,8,7,1,26-35,10k-15k
RM012,29,No,Travel_Rarely,Research & Development,15,Life Sciences,4,Female,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,10,3,3,9,5,0,26-35,Upto 5k
RM676,31,No,Travel_Rarely,Sales,7,Life Sciences,2,Male,Sales Representative,3,Married,2329,11737,3,No,15,3,2,13,2,4,7,7,5,26-35,Upto 5k
RM1398,54,No,Travel_Rarely,Research & Development,9,Life Sciences,1,Female,Research Scientist,3,Married,2897,22474,3,No,11,3,3,9,6,2,4,3,2,46-55,Upto 5k
RM1468,27,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Male,Manufacturing Director,2,Married,6142,5174,1,Yes,20,4,2,6,0,3,6,2,0,26-35,5k-10k
RM371,21,Yes,Travel_Rarely,Sales,12,Life Sciences,3,Female,Sales Representative,2,Single,2716,25422,1,No,15,3,4,1,0,3,1,0,0,18-25,Upto 5k
RM1407,54,No,Travel_Rarely,Research & Development,10,Medical,3,Female,Manufacturing Director,1,Single,4440,25198,6,Yes,19,3,4,9,3,3,5,2,1,46-55,Upto 5k
RM1387,26,No,Travel_Rarely,Research & Development,1,Medical,3,Male,Laboratory Technician,1,Single,2867,20006,0,No,13,3,4,8,6,2,7,7,7,26-35,Upto 5k
RM502,30,No,Travel_Frequently,Research & Development,3,Medical,3,Female,Research Scientist,3,Divorced,2083,22653,1,No,20,4,3,1,2,3,1,0,0,26-35,Upto 5k
RM1239,23,No,Travel_Rarely,Research & Development,4,Medical,3,Female,Laboratory Technician,2,Single,3295,12862,1,No,13,3,3,3,3,1,3,2,1,18-25,Upto 5k
RM1433,37,No,Travel_Rarely,Research & Development,10,Life Sciences,3,Female,Research Director,4,Married,13744,15471,1,Yes,25,4,1,16,2,3,16,11,6,36-45,10k-15k
RM445,48,No,Travel_Rarely,Sales,2,Marketing,2,Female,Sales Executive,4,Married,4051,19658,2,No,14,3,1,14,2,3,9,7,6,46-55,Upto 5k
RM1240,31,No,Travel_Frequently,Research & Development,24,Technical Degree,4,Female,Manufacturing Director,4,Single,5238,6670,2,No,20,4,4,9,3,2,5,4,1,26-35,5k-10k
RM385,36,No,Travel_Rarely,Sales,2,Medical,2,Male,Sales Executive,3,Married,7596,3809,1,No,13,3,2,10,2,3,10,9,9,36-45,5k-10k
RM831,41,No,Travel_Rarely,Research & Development,12,Life Sciences,2,Male,Laboratory Technician,4,Married,4766,9051,3,Yes,11,3,1,6,4,3,1,0,0,36-45,Upto 5k
RM561,34,No,Travel_Rarely,Research & Development,8,Life Sciences,2,Female,Manufacturing Director,1,Divorced,5121,4187,3,No,14,3,3,7,3,3,0,0,0,26-35,5k-10k
RM917,46,No,Travel_Rarely,Sales,4,Marketing,4,Female,Manager,2,Married,18789,9946,2,No,14,3,3,26,2,3,11,4,0,46-55,15k+
RM543,38,No,Travel_Rarely,Research & Development,1,Life Sciences,3,Female,Manufacturing Director,3,Single,7861,15397,4,Yes,14,3,4,10,4,4,1,0,0,36-45,5k-10k
RM1353,44,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,Healthcare Representative,1,Married,5033,9364,2,No,15,3,4,10,5,3,2,0,2,36-45,5k-10k
RM1156,39,No,Travel_Rarely,Research & Development,3,Medical,3,Male,Laboratory Technician,3,Divorced,3069,10302,0,No,15,3,4,11,3,3,10,8,0,36-45,Upto 5k
RM1019,36,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,Laboratory Technician,4,Single,5810,22604,1,No,16,3,3,10,2,2,10,4,1,36-45,5k-10k
RM822,49,No,Travel_Rarely,Sales,8,Technical Degree,4,Male,Sales Executive,2,Married,13120,11879,6,No,17,3,2,22,3,3,9,8,2,46-55,10k-15k
RM1244,45,No,Travel_Rarely,Human Resources,4,Life Sciences,3,Female,Human Resources,3,Married,9756,6595,4,No,21,4,3,9,2,4,5,0,0,36-45,5k-10k
RM915,55,No,Non_Travel,Research & Development,8,Medical,4,Male,Healthcare Representative,2,Married,13577,25592,1,Yes,15,3,4,34,3,3,33,9,15,46-55,10k-15k
RM662,43,No,Travel_Rarely,Research & Development,8,Life Sciences,1,Female,Manufacturing Director,2,Divorced,4765,23814,4,No,21,4,3,4,2,4,1,0,0,36-45,Upto 5k
RM879,42,No,Non_Travel,Human Resources,2,Medical,4,Male,Human Resources,1,Married,6272,12858,7,No,16,3,1,10,3,4,4,3,0,36-45,5k-10k
RM619,25,No,Travel_Rarely,Research & Development,2,Medical,1,Male,Research Scientist,1,Single,3424,21632,7,No,13,3,3,6,3,2,4,3,0,18-25,Upto 5k
RM1253,34,No,Travel_Rarely,Research & Development,2,Medical,4,Male,Research Scientist,4,Married,2932,5586,0,Yes,14,3,1,6,3,3,5,0,1,26-35,Upto 5k
RM575,34,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,Research Scientist,4,Single,3280,13551,2,No,16,3,3,10,2,3,4,2,1,26-35,Upto 5k
RM1015,31,No,Travel_Rarely,Research & Development,8,Life Sciences,1,Female,Research Director,2,Single,16422,8847,3,No,11,3,3,9,3,4,3,2,1,26-35,15k+
RM316,43,No,Travel_Frequently,Research & Development,10,Life Sciences,3,Female,Laboratory Technician,4,Single,2455,10675,0,No,19,3,1,9,5,3,8,7,1,36-45,Upto 5k
RM1303,35,No,Travel_Rarely,Research & Development,23,Medical,2,Male,Laboratory Technician,3,Married,2705,9696,0,No,16,3,2,6,2,4,5,4,0,26-35,Upto 5k
RM825,42,No,Travel_Rarely,Research & Development,29,Medical,2,Male,Laboratory Technician,4,Single,4272,9558,4,No,19,3,1,16,3,3,1,0,0,36-45,Upto 5k
RM681,36,No,Travel_Rarely,Research & Development,7,Other,2,Male,Research Scientist,4,Single,4678,23293,2,No,18,3,3,8,6,3,6,2,0,36-45,Upto 5k
RM1402,55,No,Travel_Rarely,Human Resources,26,Human Resources,3,Male,Manager,2,Married,19636,25811,4,Yes,18,3,1,35,0,3,10,9,1,46-55,15k+
RM408,45,No,Travel_Rarely,Research & Development,10,Life Sciences,1,Male,Research Scientist,4,Married,2654,9655,3,No,21,4,4,8,3,2,2,2,0,36-45,Upto 5k
RM313,31,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,3,2,1,2,2,2,26-35,Upto 5k
RM782,26,No,Travel_Rarely,Research & Development,1,Medical,1,Male,Laboratory Technician,1,Married,3955,11141,1,No,16,3,1,6,2,3,5,3,1,26-35,Upto 5k
RM078,45,No,Travel_Rarely,Research & Development,6,Other,4,Male,Research Director,1,Married,13245,15067,4,Yes,14,3,2,17,3,4,0,0,0,36-45,10k-15k
RM930,28,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,Laboratory Technician,4,Married,3867,14222,1,Yes,12,3,2,2,2,3,2,2,2,26-35,Upto 5k
RM154,45,No,Travel_Rarely,Research & Development,9,Life Sciences,2,Male,Laboratory Technician,2,Divorced,2348,10901,8,No,18,3,3,20,2,1,17,9,0,36-45,Upto 5k
RM462,35,No,Travel_Rarely,Sales,1,Medical,1,Female,Sales Executive,3,Single,4859,6698,1,No,16,3,4,5,3,3,5,4,0,26-35,Upto 5k
RM1275,31,No,Travel_Rarely,Sales,29,Marketing,1,Female,Sales Executive,4,Married,5468,13402,1,No,14,3,1,13,3,3,12,7,5,26-35,5k-10k
RM834,27,No,Travel_Rarely,Research & Development,6,Life Sciences,4,Male,Research Scientist,3,Married,2539,7950,1,No,13,3,3,4,0,3,4,2,2,26-35,Upto 5k
RM876,44,No,Travel_Rarely,Research & Development,29,Other,4,Male,Research Scientist,4,Single,4541,7744,1,No,25,4,2,20,3,3,20,11,13,36-45,Upto 5k
RM1003,35,No,Travel_Frequently,Research & Development,18,Life Sciences,3,Male,Manufacturing Director,4,Single,9362,19944,2,No,11,3,3,10,2,3,2,2,2,26-35,5k-10k
RM389,42,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,Laboratory Technician,1,Divorced,2576,20490,3,No,16,3,2,8,5,3,5,2,1,36-45,Upto 5k
RM1431,38,No,Travel_Rarely,Research & Development,10,Medical,2,Female,Research Director,3,Married,13206,3376,3,No,12,3,1,20,3,3,18,16,1,36-45,10k-15k
RM146,30,No,Travel_Rarely,Research & Development,5,Technical Degree,4,Female,Research Scientist,1,Divorced,3204,10415,5,No,14,3,4,8,3,3,3,2,2,26-35,Upto 5k
RM593,47,No,Travel_Rarely,Research & Development,2,Other,3,Female,Manager,4,Married,16752,12982,1,Yes,11,3,3,26,3,2,26,14,3,46-55,15k+
RM1017,31,Yes,Travel_Rarely,Research & Development,8,Life Sciences,1,Female,Research Scientist,2,Single,1261,22262,1,No,12,3,3,1,3,4,1,0,0,26-35,Upto 5k
RM382,30,No,Travel_Rarely,Sales,2,Technical Degree,3,Male,Sales Representative,2,Married,2476,17434,1,No,18,3,1,1,3,3,1,0,0,26-35,Upto 5k
RM814,39,Yes,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,Healthcare Representative,4,Divorced,12169,13547,7,No,11,3,4,21,4,3,18,7,11,36-45,10k-15k
RM495,34,No,Travel_Rarely,Sales,14,Technical Degree,3,Female,Sales Representative,3,Divorced,2579,2912,1,Yes,18,3,4,8,3,3,8,2,0,26-35,Upto 5k
RM997,27,No,Travel_Rarely,Sales,10,Marketing,4,Female,Sales Executive,4,Married,5769,7100,1,Yes,11,3,4,6,3,3,6,2,4,26-35,5k-10k
RM957,56,No,Travel_Rarely,Human Resources,8,Life Sciences,4,Male,Manager,2,Single,19717,4022,6,No,14,3,1,36,4,3,7,3,7,55+,15k+
RM1322,47,No,Travel_Rarely,Research & Development,9,Life Sciences,2,Female,Laboratory Technician,3,Single,2105,5411,4,No,12,3,3,7,2,3,2,2,2,46-55,Upto 5k
RM1158,35,No,Non_Travel,Research & Development,8,Life Sciences,3,Female,Healthcare Representative,3,Married,4148,12250,1,No,12,3,4,15,5,3,14,11,2,26-35,Upto 5k
RM425,57,No,Travel_Rarely,Sales,29,Marketing,1,Male,Manager,4,Married,14118,22102,3,No,12,3,3,32,3,2,1,0,0,55+,10k-15k
RM332,27,No,Non_Travel,Sales,1,Marketing,3,Male,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,6,0,3,5,4,1,26-35,5k-10k
RM1256,33,Yes,Travel_Rarely,Sales,16,Life Sciences,1,Female,Sales Executive,1,Single,8564,10092,2,Yes,20,4,3,11,2,2,0,0,0,26-35,5k-10k
RM591,33,No,Travel_Rarely,Research & Development,7,Medical,3,Male,Research Director,3,Married,11691,25995,0,No,11,3,4,14,3,4,13,9,3,26-35,10k-15k
RM009,38,No,Travel_Frequently,Research & Development,23,Life Sciences,4,Male,Manufacturing Director,3,Single,9526,8787,0,No,21,4,2,10,2,3,9,7,1,36-45,5k-10k
RM136,36,No,Travel_Rarely,Research & Development,6,Medical,2,Male,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,7,0,3,3,2,0,36-45,Upto 5k
RM758,34,No,Travel_Rarely,Sales,1,Marketing,2,Male,Sales Executive,4,Divorced,9725,12278,0,No,11,3,4,16,2,2,15,1,0,26-35,5k-10k
RM545,47,No,Travel_Frequently,Sales,3,Medical,4,Female,Sales Executive,3,Married,13770,10225,9,Yes,12,3,4,28,2,2,22,2,11,46-55,10k-15k
RM818,36,No,Non_Travel,Research & Development,18,Life Sciences,1,Male,Manufacturing Director,4,Single,7779,23238,2,No,20,4,1,18,0,3,11,9,0,36-45,5k-10k
RM1364,33,No,Travel_Rarely,Sales,10,Marketing,2,Male,Sales Executive,3,Single,5487,10410,1,No,14,3,2,10,2,2,10,4,0,26-35,5k-10k
RM735,22,No,Travel_Rarely,Research & Development,8,Life Sciences,2,Male,Laboratory Technician,1,Married,2451,6881,1,No,15,3,1,4,3,2,4,3,1,18-25,Upto 5k
RM1041,40,No,Non_Travel,Research & Development,8,Medical,4,Male,Research Director,2,Divorced,13757,25178,2,No,11,3,3,16,5,3,9,8,4,36-45,10k-15k
RM304,31,No,Travel_Rarely,Sales,7,Technical Degree,2,Male,Sales Executive,4,Married,6929,12241,4,No,11,3,2,10,3,2,8,7,7,26-35,5k-10k
RM1346,35,No,Travel_Rarely,Research & Development,16,Other,4,Female,Manufacturing Director,2,Married,4788,25388,0,Yes,11,3,4,4,2,3,3,2,0,26-35,Upto 5k
RM1078,29,Yes,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,Research Scientist,1,Single,2362,7568,6,No,13,3,3,11,2,1,9,7,0,26-35,Upto 5k
RM1081,46,No,Travel_Rarely,Sales,3,Life Sciences,3,Female,Manager,2,Married,16606,11380,8,No,12,3,4,23,2,4,13,12,5,46-55,15k+
RM274,37,No,Travel_Rarely,Sales,6,Medical,3,Male,Sales Executive,4,Married,6502,22825,4,No,14,3,2,7,5,4,5,4,0,36-45,5k-10k
RM297,18,Yes,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,Laboratory Technician,3,Single,1420,25233,1,No,13,3,3,0,2,3,0,0,0,18-25,Upto 5k
RM703,30,No,Travel_Rarely,Sales,8,Other,3,Male,Sales Executive,3,Divorced,7264,9977,5,No,11,3,1,10,2,4,8,4,7,26-35,5k-10k
RM455,29,No,Travel_Rarely,Research & Development,19,Technical Degree,4,Male,Manufacturing Director,4,Divorced,4262,22645,4,No,12,3,2,8,2,4,3,2,1,26-35,Upto 5k
RM1291,34,Yes,Travel_Frequently,Research & Development,9,Life Sciences,4,Male,Laboratory Technician,1,Married,5346,6208,4,No,17,3,3,11,3,2,7,1,0,26-35,5k-10k
RM1429,32,No,Travel_Rarely,Sales,1,Medical,2,Male,Sales Representative,2,Married,2269,18024,0,No,14,3,2,3,2,3,2,2,2,26-35,Upto 5k
RM919,51,No,Travel_Frequently,Sales,9,Life Sciences,4,Male,Manager,2,Married,19847,19196,4,Yes,24,4,1,31,5,2,29,10,11,46-55,15k+
RM503,53,No,Travel_Rarely,Sales,1,Medical,4,Female,Sales Executive,1,Single,8381,7507,7,No,20,4,4,18,2,4,14,7,8,46-55,5k-10k
RM1376,32,Yes,Travel_Frequently,Research & Development,5,Life Sciences,1,Female,Research Scientist,3,Single,2432,15318,3,Yes,14,3,1,8,2,3,4,1,0,26-35,Upto 5k
RM579,38,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Female,Manufacturing Director,1,Single,5980,26085,6,Yes,12,3,4,17,2,3,15,7,4,36-45,5k-10k
RM108,25,Yes,Travel_Rarely,Sales,5,Marketing,3,Male,Sales Executive,3,Single,5744,26959,1,Yes,11,3,4,6,1,3,6,4,0,18-25,5k-10k
RM1223,24,Yes,Travel_Rarely,Human Resources,22,Human Resources,4,Male,Human Resources,3,Married,1555,11585,1,No,11,3,3,1,2,3,1,0,0,18-25,Upto 5k
RM1142,30,No,Travel_Rarely,Research & Development,7,Medical,2,Male,Research Scientist,2,Married,2141,5348,1,No,12,3,2,6,3,2,6,4,1,26-35,Upto 5k
RM519,38,No,Travel_Rarely,Sales,7,Marketing,4,Female,Sales Executive,4,Single,4028,7791,0,No,20,4,1,8,2,3,7,7,0,36-45,Upto 5k
RM1270,43,No,Travel_Rarely,Human Resources,2,Life Sciences,2,Male,Human Resources,4,Single,3539,5033,0,No,13,3,2,10,5,3,9,7,1,36-45,Upto 5k
RM747,41,No,Non_Travel,Research & Development,7,Life Sciences,2,Female,Research Director,3,Divorced,19973,20284,1,No,22,4,2,21,3,3,21,16,5,36-45,15k+
RM829,18,Yes,Non_Travel,Research & Development,8,Medical,3,Male,Laboratory Technician,3,Single,1904,13556,1,No,12,3,4,0,0,3,0,0,0,18-25,Upto 5k
RM719,45,No,Non_Travel,Research & Development,23,Life Sciences,4,Male,Laboratory Technician,1,Married,3633,14039,1,Yes,15,3,3,9,2,3,9,8,0,36-45,Upto 5k
RM652,47,No,Travel_Rarely,Sales,2,Marketing,3,Female,Sales Executive,4,Married,4537,17783,0,Yes,22,4,1,8,2,3,7,6,7,46-55,Upto 5k
RM125,31,Yes,Travel_Rarely,Sales,6,Life Sciences,2,Male,Sales Executive,3,Married,6172,20739,4,Yes,18,3,2,12,3,2,7,7,7,26-35,5k-10k
RM916,21,Yes,Travel_Frequently,Research & Development,10,Life Sciences,1,Female,Laboratory Technician,3,Single,2625,25308,1,No,20,4,3,2,2,1,2,2,2,18-25,Upto 5k
